Product Name,Price,Rating,Availability,Product URL
Lightweight Probiotics,155.62,4.0,In Stock,https://scrapingsandbox.com/product/1
Wireless LED Desk Lamp,145.4,4.6,Out of Stock,https://scrapingsandbox.com/product/2
Deluxe Tea Collection,185.01,3.5,In Stock,https://scrapingsandbox.com/product/3
Essential Tire Gauge,70.86,3.6,Out of Stock,https://scrapingsandbox.com/product/4
Smart Carving Tools,97.13,3.5,In Stock,https://scrapingsandbox.com/product/5
Professional Dog Food,145.4,4.6,In Stock,https://scrapingsandbox.com/product/6
Smart Car Wash Kit,139.94,3.0,In Stock,https://scrapingsandbox.com/product/7
Premium Bluetooth Speaker,108.99,4.5,In Stock,https://scrapingsandbox.com/product/8
Vintage Tablet Stand,44.15,3.4,In Stock,https://scrapingsandbox.com/product/9
Portable Marker Pack,193.91,4.2,In Stock,https://scrapingsandbox.com/product/10
Professional Brush Kit,55.29,3.6,Out of Stock,https://scrapingsandbox.com/product/11
Smart Play Dough,123.5,3.5,In Stock,https://scrapingsandbox.com/product/12
Premium Vinyl Record,69.22,4.5,In Stock,https://scrapingsandbox.com/product/13
Professional Aquarium Plant,71.68,4.6,In Stock,https://scrapingsandbox.com/product/14
Vintage Stuffed Animal,124.84,5.0,In Stock,https://scrapingsandbox.com/product/15
Eco-Friendly Protein Bar,76.27,3.9,In Stock,https://scrapingsandbox.com/product/16
Lightweight Paper Clips,156.17,4.3,In Stock,https://scrapingsandbox.com/product/17
Professional Guitar Strings,159.77,4.1,In Stock,https://scrapingsandbox.com/product/18
Premium Business Book,175.14,4.9,In Stock,https://scrapingsandbox.com/product/19
Handcrafted Locket,106.84,4.2,In Stock,https://scrapingsandbox.com/product/20
Compact Heating Pad,70.83,4.8,In Stock,https://scrapingsandbox.com/product/21
Advanced Brake Pad,108.45,4.3,In Stock,https://scrapingsandbox.com/product/22
Heavy-Duty Seat Cover,30.36,4.2,In Stock,https://scrapingsandbox.com/product/23
Heavy-Duty Palette,179.54,3.7,In Stock,https://scrapingsandbox.com/product/24
Vintage Nerf Gun,107.53,3.6,In Stock,https://scrapingsandbox.com/product/25
Pro Stamp Set,16.25,4.6,In Stock,https://scrapingsandbox.com/product/26
Premium Air Freshener,165.03,4.8,Out of Stock,https://scrapingsandbox.com/product/27
Heavy-Duty Label Maker,195.41,3.2,In Stock,https://scrapingsandbox.com/product/28
Lightweight Blood Pressure Monitor,170.16,4.9,Out of Stock,https://scrapingsandbox.com/product/29
Ultra USB-C Hub,110.55,3.9,In Stock,https://scrapingsandbox.com/product/30
Premium Travel Guide,133.28,3.6,In Stock,https://scrapingsandbox.com/product/31
Vintage Speaker Cable,49.19,3.4,Out of Stock,https://scrapingsandbox.com/product/32
Classic First Aid Kit,15.69,4.1,In Stock,https://scrapingsandbox.com/product/33
Eco-Friendly Grip Gloves,193.06,3.7,Out of Stock,https://scrapingsandbox.com/product/34
Vintage Hoop Earrings,27.37,3.1,In Stock,https://scrapingsandbox.com/product/35
Modern Nut Mix,31.27,3.9,In Stock,https://scrapingsandbox.com/product/36
Handcrafted Flannel Shirt,164.84,4.4,In Stock,https://scrapingsandbox.com/product/37
Lightweight Vitamin Pack,148.91,4.6,In Stock,https://scrapingsandbox.com/product/38
Compact Canvas,204.29,4.7,In Stock,https://scrapingsandbox.com/product/39
Professional Skipping Rope,31.33,3.4,In Stock,https://scrapingsandbox.com/product/40
Ultra Cookbook,104.27,3.3,In Stock,https://scrapingsandbox.com/product/41
Vintage Microphone,27.42,3.3,Out of Stock,https://scrapingsandbox.com/product/42
